Gest. Comercial 3;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;;;;;abc
;;;;;;
7:50;;;;;;abc
;;;;;;
8:40;;;;;;abc
;;;;;;
9:30;INTERVALO;;;;;
;;;;;;
9:50;;;;;;abc
;;;;;;
10:40;;;;;;abc
;;;;;;
11:30;;;;;;abc
;;;;;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;;;;abc
;;;;;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;;;;abc
;;;;;;
15:50;;;;;;abc
;;;;;;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;Legislação Social;Gestão de Op. em Atacado e Varejo;Legislação Social;Contabilidade Gerencial;Administração de Marketing;abc
;Monique;Katarina;Monique;Fernando;Anna Carolina;
18:50;Legislação Social;Gestão de Op. em Atacado e Varejo;Métodos e Técnicas de Pesquisa;Contabilidade Gerencial;Administração de Marketing;abc
;Monique;Katarina;Luiza;Fernando;Anna Carolina;
19:40;Fundamentos de Gestão de Pessoas;Gestão de Op. em Atacado e Varejo;Gestão de Suprimentos e Logística;Contabilidade Gerencial;Publicidade e Propaganda;abc
;Bruna;Katarina;Amândio;Fernando;Larissa;
20:30;INTERVALO;;;;;
;;;;;;
20:40;Métodos e Técnicas de Pesquisa;Fundamentos de Gestão de Pessoas;Administração de Marketing;Publicidade e Propaganda;Gestão de Suprimentos e Logística;abc
;Luiza;Bruna;Anna Carolina;Larissa;Amândio;
21:30;Métodos e Técnicas de Pesquisa;Fundamentos de Gestão de Pessoas;Administração de Marketing;Publicidade e Propaganda;Gestão de Suprimentos e Logística;abc
;Luiza;Bruna;Anna Carolina;Larissa;Amândio;
