Edificações 2;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;Inglês II;Estabilidade das Construções;Português II;Desenho Arquitetônico;Biologia II;abc
;Cláudia;Cícero M;Vera;Larisse;Dayana;
7:50;Inglês II;Estabilidade das Construções;Matemática II;Desenho Arquitetônico;Biologia II;abc
;Cláudia;Cícero M;Eduardo;Larisse;Dayana;
8:40;Materiais de Construção;História I;Física;Desenho Arquitetônico;Português II;abc
;Cícero M;Divino;João Luiz;Larisse;Vera;
9:30;INTERVALO;;;;;
;;;;;;
9:50;Materiais de Construção;História I;Física;Topografia;Português II;abc
;Cícero M;Divino;João Luiz;Kyara;Vera;
10:40;Sociologia II;Matemática II;Química II;Topografia;;abc
;Rômulo Amorim;Eduardo;Sayonara;Kyara;;
11:30;Sociologia II;Matemática II;Química II;Topografia;;abc
;Rômulo Amorim;Eduardo;Sayonara;Kyara;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;Educação Física II;Filosofia II;;abc
;;;Marcos;Michel;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;Educação Física II;Filosofia II;;abc
;;;Marcos;Michel;;
15:50;;;Educação Física II;Geografia I;;abc
;;;Marcos;Alexandre;;
16:40;;;;Geografia I;;abc
;;;;Alexandre;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
