Informática 1;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;História I;Algoritmos e Lógica de Programação;Geografia I;Matemática I;abc
;;Divino;Rodrigo;Alexandre;Cícero D;
7:50;;História I;Algoritmos e Lógica de Programação;Geografia I;Matemática I;abc
;;Divino;Rodrigo;Alexandre;Cícero D;
8:40;Química I;Artes;Português I;Português I;;abc
;Sayonara;Líbna;Vera;Vera;;
9:30;INTERVALO;;;;;
;;;;;;
9:50;Química I;Artes;Química I;Português I;Educação Física I;abc
;Sayonara;Líbna;Sayonara;Vera;Marcos;
10:40;Inglês I;Fundamentos da Informática;Filosofia I;Matemática I;Educação Física I;abc
;Cláudia;Jefferson;Michel;Cícero D;Marcos;
11:30;Inglês I;Fundamentos da Informática;Filosofia I;Matemática I;Educação Física I;abc
;Cláudia;Jefferson;Michel;Cícero D;Marcos;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;;;;abc
;;;;;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;;;;abc
;;;;;;
15:50;;;;;;abc
;;;;;;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
